reference,name,listed-building,listed-building-grade,notes,start-date,end-date,entry-date,geometry
LB1859,"(East, off) Court Building, St Pancras Coroner's Court",10271,II,,05-09-2003,,,"POLYGON ((-0.129989 51.535897,-0.130021 51.535929,-0.129996 51.535939,-0.12996 51.535905,-0.129959 51.535906,-0.129901 51.53593,-0.129904 51.535933,-0.129932 51.535959,-0.129922 51.535962,-0.129958 51.536048,-0.130012 51.536041,-0.130017 51.536041,-0.130084 51.536014,-0.130084 51.536029,-0.130084 51.536036,-0.130122 51.536044,-0.13013 51.536032,-0.13016 51.536038,-0.130197 51.536023,-0.130204 51.536003,-0.130177 51.535978,-0.130182 51.535976,-0.130153 51.535947,-0.130157 51.535945,-0.130128 51.535918,-0.130123 51.53592,-0.130096 51.535895,-0.13009 51.535896,-0.130061 51.535868,-0.130042 51.535875,-0.130039 51.535871,-0.130003 51.535886,-0.130006 51.535891,-0.129989 51.535897))"
LB1481,(West side) Cattle Trough at junction with Hermitage Lane,477772,II,,1998-07-01,,,"POLYGON ((-0.192568 51.56149,-0.192569 51.561484,-0.192517 51.561482,-0.192516 51.561489,-0.192568 51.56149))"
LB1872,"HAMPSTEAD, ADELAIDE ROAD Swiss Cottage Regency Lodge, Includes: Regency Lodge, AVENUE ROAD, SwissCottage Includes: Regency Lodge, AVENUE ROAD, SwissCottage",492770,II,,2006-09-18,,,"POLYGON ((-0.17426 51.541968,-0.174269 51.541997,-0.174058 51.542017,-0.174034 51.54202,-0.173964 51.542027,-0.17396 51.542009,-0.173954 51.541986,-0.17393 51.541989,-0.173914 51.542004,-0.173916 51.542012,-0.173929 51.542063,-0.173939 51.542062,-0.173941 51.54207,-0.173949 51.542103,-0.174025 51.542096,-0.174061 51.542092,-0.174068 51.542093,-0.174074 51.542094,-0.174079 51.542097,-0.17408 51.542097,-0.174084 51.542101,-0.174086 51.542105,-0.174087 51.54211,-0.174085 51.542115,-0.174085 51.542116,-0.174082 51.54212,-0.174078 51.542124,-0.174076 51.542125,-0.17407 51.542131,-0.174082 51.542177,-0.174096 51.542233,-0.174103 51.542261,-0.174126 51.54227,-0.174157 51.542267,-0.174152 51.542239,-0.174188 51.542234,-0.174182 51.542208,-0.17418 51.5422,-0.174365 51.54218,-0.174364 51.542172,-0.174365 51.542169,-0.174366 51.542167,-0.174369 51.542163,-0.174374 51.54216,-0.17438 51.542158,-0.174388 51.542156,-0.174416 51.542153,-0.174427 51.542152,-0.17446 51.542148,-0.174486 51.542145,-0.174492 51.542144,-0.174499 51.542144,-0.174505 51.542145,-0.174511 51.542147,-0.174516 51.542149,-0.174521 51.542153,-0.174523 51.542157,-0.174527 51.542165,-0.174715 51.542147,-0.174718 51.542162,-0.174724 51.542184,-0.174755 51.54218,-0.174762 51.542203,-0.174798 51.5422,-0.174801 51.542199,-0.174806 51.542198,-0.174809 51.542196,-0.17481 51.542193,-0.174811 51.542189,-0.174811 51.542184,-0.174806 51.542166,-0.174797 51.542134,-0.174791 51.542109,-0.174779 51.542059,-0.174771 51.542059,-0.174764 51.542058,-0.17476 51.542056,-0.174755 51.542053,-0.174751 51.542048,-0.17475 51.542043,-0.17475 51.542036,-0.174753 51.542031,-0.174756 51.542028,-0.174764 51.542025,-0.174774 51.542022,-0.174808 51.542019,-0.174851 51.542015,-0.174842 51.541981,-0.17484 51.541975,-0.17485 51.541974,-0.174834 51.541914,-0.174814 51.541901,-0.17479 51.541904,-0.174799 51.541945,-0.174732 51.541952,-0.174701 51.541955,-0.174495 51.541975,-0.174487 51.541945,-0.174475 51.541946,-0.174458 51.541874,-0.174459 51.541872,-0.17446 51.541871,-0.174463 51.541869,-0.17447 51.541866,-0.174475 51.541866,-0.174493 51.541863,-0.174525 51.541861,-0.174531 51.541856,-0.174533 51.541855,-0.174538 51.541852,-0.174542 51.54185,-0.174545 51.541849,-0.174549 51.541849,-0.174555 51.541848,-0.174563 51.541847,-0.174568 51.541846,-0.174573 51.541846,-0.174578 51.541847,-0.174582 51.541848,-0.174586 51.541849,-0.17459 51.541851,-0.174595 51.541853,-0.174611 51.541851,-0.174618 51.541851,-0.174621 51.54185,-0.174623 51.54185,-0.174626 51.54185,-0.17463 51.541851,-0.17464 51.541855,-0.174648 51.541862,-0.174821 51.541843,-0.174813 51.541815,-0.174919 51.541805,-0.174962 51.541801,-0.174972 51.5418,-0.174983 51.541801,-0.174995 51.541803,-0.175006 51.541805,-0.17501 51.541806,-0.175019 51.541811,-0.175027 51.541815,-0.175035 51.541821,-0.17504 51.541827,-0.175043 51.541833,-0.175045 51.541841,-0.175045 51.541848,-0.175043 51.541862,-0.17504 51.541881,-0.175034 51.541921,-0.175018 51.542002,-0.175 51.542086,-0.17497 51.542249,-0.174969 51.542251,-0.174739 51.542274,-0.17475 51.542324,-0.174751 51.542332,-0.174682 51.542361,-0.174591 51.54237,-0.174584 51.542343,-0.174403 51.54236,-0.174409 51.542387,-0.174327 51.542395,-0.174249 51.542386,-0.174246 51.542374,-0.174235 51.542322,-0.174074 51.542338,-0.17407 51.542338,-0.174063 51.542309,-0.174011 51.542315,-0.173966 51.542319,-0.173965 51.542316,-0.17396 51.542294,-0.173956 51.54229,-0.17391 51.542117,-0.17379 51.542128,-0.173784 51.542098,-0.173775 51.542096,-0.173739 51.541961,-0.17372 51.541957,-0.173715 51.541954,-0.173712 51.541952,-0.173709 51.541948,-0.173707 51.541945,-0.173706 51.541941,-0.173708 51.541936,-0.173711 51.541932,-0.173713 51.541931,-0.173725 51.541922,-0.173891 51.541906,-0.173898 51.541935,-0.17407 51.541918,-0.174068 51.541911,-0.174068 51.541909,-0.17407 51.541908,-0.174072 51.541905,-0.174076 51.541904,-0.174078 51.541903,-0.174082 51.541903,-0.174108 51.5419,-0.174113 51.541898,-0.174117 51.541895,-0.174121 51.541894,-0.174124 51.541893,-0.174127 51.541892,-0.174129 51.541891,-0.174133 51.54189,-0.174137 51.54189,-0.174142 51.541889,-0.17415 51.541889,-0.174158 51.541888,-0.174166 51.541889,-0.174168 51.541889,-0.174171 51.54189,-0.174181 51.541894,-0.174209 51.541891,-0.174233 51.541888,-0.174238 51.541888,-0.174242 51.541889,-0.174246 51.54189,-0.174249 51.541892,-0.174251 51.541893,-0.174253 51.541895,-0.174272 51.541966,-0.17426 51.541968))"
LB1531,"Nos. 64-67, Nos. 2-8",1061382,II,,2002-07-19,,,"POLYGON ((-0.134375 51.520073,-0.134506 51.520196,-0.134214 51.520323,-0.134076 51.5202,-0.134017 51.520147,-0.134016 51.520147,-0.134014 51.520146,-0.134375 51.520073,-0.134012 51.520143,-0.134012 51.520142,-0.134012 51.520141,-0.134011 51.52014,-0.134012 51.520137,-0.134375 51.520073,-0.134014 51.520133,-0.134018 51.52013,-0.134021 51.520127,-0.134024 51.520125,-0.134028 51.520122,-0.134312 51.520014,-0.134375 51.520073))"
LB1532,NORTH CRESCENT War Memorial,1061383,II,,2002-07-19,,,"POLYGON (())"
LB1533,(South side) Nos.42-54,1061403,II,,2002-07-25,,,"POLYGON ((-0.125589 51.513687,-0.12563 51.513669,-0.125968 51.513529,-0.126089 51.513655,-0.126111 51.513699,-0.126151 51.513777,-0.126155 51.513784,-0.125698 51.513839,-0.125305 51.513893,-0.125239 51.513832,-0.125589 51.513687))"
LB337,(North side) No.5,1067340,II*,,1950-08-11,,,"POLYGON ((-0.179434 51.555601,-0.179437 51.555625,-0.179442 51.555692,-0.179443 51.555704,-0.179414 51.555705,-0.179416 51.555736,-0.179384 51.555738,-0.179384 51.555723,-0.179373 51.555617,-0.179373 51.555604,-0.179383 51.555593,-0.179424 51.555591,-0.179434 51.555601))"
LB338,(North side) No.6 and attached railings,1067341,II,,1950-08-11,,,"POLYGON ((-0.129989 51.535897,-0.130021 51.535929))"
LB339,(North side) No.7 and attached railings,1067342,II,,1950-08-11,,,"POLYGON ((-0.179549 51.555617,-0.179552 51.555664,-0.179546 51.555665,-0.179548 51.555689,-0.179571 51.555689,-0.179571 51.555711,-0.179567 51.555711,-0.179566 51.555741,-0.179575 51.555742,-0.179574 51.555759,-0.179589 51.555759,-0.179596 51.555613,-0.179549 51.555617))"
LB340,(North side) No.8 and attached railings and gate,1067343,II,,1950-08-11,,,"POLYGON ((-0.179596 51.55559,-0.17965 51.555585,-0.179651 51.555604,-0.179658 51.555689,-0.179657 51.555715,-0.179624 51.555714,-0.179622 51.555754,-0.179606 51.555753,-0.179606 51.555765,-0.179589 51.555765,-0.179589 51.555759,-0.179596 51.555613,-0.179595 51.555606,-0.179596 51.55559))"
